date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,price_change,turnover_rate,code,forward_ret_1d,forward_ret_3d,forward_ret_5d
2025-02-05,000002,7.05,6.97,7.18,6.88,2765847,1931084568.52,4.13,-4.13,-0.3,2.85,000002,0.007173601147776099,0.06456241032998578,0.14203730272596848
2025-02-06,000002,6.97,7.02,7.16,6.92,1868805,1316869589.28,3.44,0.72,0.05,1.92,000002,0.056980056980056926,0.031339031339031376,0.13532763532763536
2025-02-07,000002,7.05,7.42,7.65,7.01,3269216,2417401435.46,9.12,5.7,0.4,3.36,000002,0.0,0.07277628032345018,0.052560646900269514
2025-02-10,000002,7.39,7.42,7.45,7.27,1862258,1370839100.67,2.43,0.0,0.0,1.92,000002,-0.02425876010781669,0.07412398921832875,0.03504043126684642
2025-02-11,000002,7.46,7.24,7.54,7.22,1736091,1268761109.81,4.31,-2.43,-0.18,1.79,000002,0.09944751381215466,0.07872928176795568,0.03867403314917128
2025-02-12,000002,7.25,7.96,7.96,7.13,3797390,2862874540.41,11.46,9.94,0.72,3.91,000002,0.0012562814070351536,-0.035175879396984966,-0.03894472361809043
2025-02-13,000002,7.79,7.97,8.22,7.7,5741530,4569427868.28,6.53,0.13,0.01,5.91,000002,-0.020075282308657516,-0.05646173149309919,-0.05646173149309919
2025-02-14,000002,7.93,7.81,8.05,7.71,2629994,2055201912.36,4.27,-2.01,-0.16,2.71,000002,-0.016645326504481472,-0.020486555697823206,-0.02432778489116516
2025-02-17,000002,7.75,7.68,7.87,7.62,2245271,1732605873.58,3.2,-1.66,-0.13,2.31,000002,-0.02083333333333337,-0.02083333333333337,0.01822916666666674
2025-02-18,000002,7.64,7.52,7.76,7.47,2009495,1528472571.67,3.78,-2.08,-0.16,2.07,000002,0.01728723404255339,0.013297872340425565,0.02127659574468077
2025-02-19,000002,7.5,7.65,7.72,7.48,1809175,1375280250.88,3.19,1.73,0.13,1.86,000002,-0.016993464052287632,0.022222222222222143,0.024836601307189454
2025-02-20,000002,7.59,7.52,7.6,7.49,1370247,1032220442.56,1.44,-1.7,-0.13,1.41,000002,0.013297872340425565,0.02127659574468077,0.03856382978723394
2025-02-21,000002,7.53,7.62,7.73,7.49,1935129,1474661906.09,3.19,1.33,0.1,1.99,000002,0.026246719160105014,0.02887139107611536,0.017060367454068137
2025-02-24,000002,7.66,7.82,8.07,7.66,3175918,2493456398.06,5.38,2.62,0.2,3.27,000002,-0.017902813299232823,-0.0012787723785167016,-0.0038363171355498826
2025-02-25,000002,7.75,7.68,7.86,7.67,1771480,1369423942.37,2.43,-1.79,-0.14,1.82,000002,0.02083333333333326,0.009114583333333481,-0.00520833333333337
