post_title,post_view,comment_num,post_url,post_date,post_time,post_author
找几个潜力股的地产,152,0,"https://guba.eastmoney.com/news,zssh000001,1525684828.html",2025-03-09,20:25,桑葚一生升
牛鬼蛇神,75,0,"https://guba.eastmoney.com/news,001979,1525681867.html",2025-03-09,19:51,全球一币
我这没有钱，有钱真买这个。龙的股票多的很。蛇的股票没有。还是搞科技股吧，,110,1,"https://guba.eastmoney.com/news,001979,1525677647.html",2025-03-09,18:58,人间至善至美
明天这个货要大涨了。第一蛇，第二老旧小区改造，对蛇都是利好,302,7,"https://guba.eastmoney.com/news,001979,1525673541.html",2025-03-09,18:01,人间至善至美
招商蛇口的机器人成熟了，降低人工成本已经实现了！,154,2,"https://guba.eastmoney.com/news,001979,1525672757.html",2025-03-09,17:50,招蛇科技
参考消息,160,0,"https://guba.eastmoney.com/news,001979,1525670412.html",2025-03-09,17:16,腐田里韭菜长得旺
4.4万亿收储,151,2,"https://guba.eastmoney.com/news,001979,1525667695.html",2025-03-09,16:42,深圳湾昕总
别分析了，下周一俯冲9.55，尾盘收跌。,124,1,"https://guba.eastmoney.com/news,001979,1525667116.html",2025-03-09,16:34,秦淮岸
招商蛇口本周融资净偿还5800.35万元，居房地产开发板块第二,66,0,"https://guba.eastmoney.com/news,001979,1525658265.html",2025-03-09,15:05,大眼看两融
越想越愤怒，这个,131,1,"https://guba.eastmoney.com/news,001979,1525644050.html",2025-03-09,11:10,股友6E5000u367
万科后复权之后价格2000多，保利后复权之后200多，蛇口，就十几块钱，怕啥？,162,0,"https://guba.eastmoney.com/news,001979,1525643807.html",2025-03-09,11:06,被追杀
如果蛇口能请到刘佳当销售，今年股价肯定翻倍！,147,2,"https://guba.eastmoney.com/news,001979,1525633258.html",2025-03-09,08:46,神秘人玖玖
深圳新房市场就从“去化呈压”转变为“库存紧张”的状态，而这也引发市场对于深圳新房,485,2,"https://guba.eastmoney.com/news,001979,1525615433.html",2025-03-08,22:05,自信的瀚森哥
俺买招商蛇口股票亏30%，过几天我去买招商蛇口的房子让他给我打七折，这很公平,351,5,"https://guba.eastmoney.com/news,001979,1525609236.html",2025-03-08,20:34,义气的三姐
销售业绩不错，下周股票会好好表现一番了。,247,2,"https://guba.eastmoney.com/news,001979,1525608855.html",2025-03-08,20:27,天南海北10
蛇口保利都很烂,224,1,"https://guba.eastmoney.com/news,001979,1525601640.html",2025-03-08,18:27,煮熟的隔天红薯
招商蛇口有什么表现吗？把股票做上去自然有人买房，自然就好办事了，谁还买实体房产？,251,3,"https://guba.eastmoney.com/news,001979,1525591704.html",2025-03-08,15:53,招蛇科技
你以为你以为就是你以为的么,159,0,"https://guba.eastmoney.com/news,001979,1525584427.html",2025-03-08,14:02,反正就一手
天天发利好，股票却一蹶不振，刚刚看保利换了管理层，是不是蛇口也该换换了，都说换帅,239,3,"https://guba.eastmoney.com/news,001979,1525581901.html",2025-03-08,13:28,评股走心人
他是龙头吗？怎么走的那么差劲？,160,0,"https://guba.eastmoney.com/news,001979,1525579756.html",2025-03-08,12:55,股友0g3891L553
地产起不来所有的消费都是空谈，所有的科技都是无太大实质性的突破，科技的泡沫越吹越,202,1,"https://guba.eastmoney.com/news,001979,1525577494.html",2025-03-08,12:19,义气的三姐
什么时候注销回购股份,165,0,"https://guba.eastmoney.com/news,001979,1525571642.html",2025-03-08,11:05,我今因病魂颠倒
请问怎么做到股价连续向下的？,186,1,"https://guba.eastmoney.com/news,001979,1525550616.html",2025-03-08,06:52,长春明明
招商蛇口股价连跌十年，有些领导拿着490万一年的薪酬，你就不觉得脸红吗？,191,0,"https://guba.eastmoney.com/news,001979,1525550167.html",2025-03-08,06:41,股友6799C332c6
股价不行了，就盼分红，不知道今年什么时候分红，能不能早一点……,250,1,"https://guba.eastmoney.com/news,001979,1525536015.html",2025-03-07,23:45,神秘人玖玖
换掉高收入饭桶，,343,9,"https://guba.eastmoney.com/news,001979,1525529321.html",2025-03-07,22:54,招蛇科技
感觉房地产企业这几年不赔钱能正常经营就不错了,217,1,"https://guba.eastmoney.com/news,001979,1525527834.html",2025-03-07,22:44,赚三千万收
